transaction_id,amount,failure_reason,recommended_action,priority,reason
TXN10085,1170.75,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10086,3452.6,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10087,20240.62,UNKNOWN,REMINDER,LOW,General recovery follow-up recommended.
TXN10088,6609.73,UNKNOWN,REMINDER,LOW,Payment has remained unresolved for several days.
TXN10089,1971.71,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10090,34148.86,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10091,2262.74,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10092,1244.06,UNKNOWN,REMINDER,LOW,General recovery follow-up recommended.
TXN10093,1993.37,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10094,43462.59,NETWORK_ERROR,RETRY,HIGH,Failure appears temporary and may succeed on retry.
TXN10095,920.37,UNKNOWN,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10096,2203.07,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10097,41996.64,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10098,9700.23,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10099,573.2,UNKNOWN,REMINDER,LOW,General recovery follow-up recommended.
TXN10100,4144.24,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10101,49414.69,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10102,3743.97,NETWORK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10103,410.95,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10104,1819.03,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10105,16651.33,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10106,38861.31,UNKNOWN,REMINDER,LOW,General recovery follow-up recommended.
TXN10107,33803.12,TEMPORARY_BANK_ERROR,RETRY,HIGH,Failure appears temporary and may succeed on retry.
TXN10108,29819.65,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10109,1940.86,UNKNOWN,REMINDER,LOW,Payment has remained unresolved for several days.
TXN10110,1174.42,NETWORK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10111,7544.71,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10112,1846.88,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10113,265.61,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10114,766.52,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10115,1765.18,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10116,1062.61,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10117,4836.62,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10118,8383.12,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10119,47709.27,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10120,265.12,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10121,5169.54,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10122,1266.29,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10123,32034.29,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10124,1157.68,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10125,1227.37,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10126,1760.13,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10127,5723.29,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10128,1696.84,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10129,430.21,UNKNOWN,REMINDER,LOW,General recovery follow-up recommended.
TXN10130,1904.14,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10131,39986.07,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10132,4019.82,UNKNOWN,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10133,7548.76,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10134,255.34,NETWORK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10135,1808.38,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10136,3229.11,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10137,2009.85,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10138,41902.36,TEMPORARY_BANK_ERROR,RETRY,HIGH,Failure appears temporary and may succeed on retry.
TXN10139,7255.21,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10140,455.49,UNKNOWN,REMINDER,LOW,General recovery follow-up recommended.
TXN10141,2265.59,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10142,35457.21,UNKNOWN,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10143,7711.98,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10144,7147.98,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10145,593.59,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10146,48991.73,NETWORK_ERROR,RETRY,HIGH,Failure appears temporary and may succeed on retry.
TXN10147,7940.91,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10148,6848.9,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10149,8687.15,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10150,8834.23,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10151,7216.33,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10152,2587.9,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10153,1906.45,NETWORK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10154,32325.61,UNKNOWN,REMINDER,LOW,Payment has remained unresolved for several days.
TXN10155,269.82,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10156,1062.81,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10157,2239.76,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10158,8944.27,UNKNOWN,REMINDER,LOW,Payment has remained unresolved for several days.
TXN10159,40740.77,UNKNOWN,REMINDER,LOW,General recovery follow-up recommended.
TXN10160,7209.21,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10161,6535.56,UNKNOWN,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10162,8541.86,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10163,3900.12,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10164,8905.81,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10165,8118.3,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10166,47081.38,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10167,9435.92,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10168,31006.54,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10169,31059.97,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10170,3398.01,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10171,5389.48,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10172,1752.03,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10173,49511.42,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10174,4728.38,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10175,544.36,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10176,33712.48,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10177,6461.71,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10178,3363.65,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10179,3876.9,NETWORK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10180,1321.45,NETWORK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10181,13505.71,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10182,41451.04,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10183,5044.61,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10184,7558.91,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10185,1075.71,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10186,617.59,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10187,16080.99,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10188,1314.1,NETWORK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10189,1311.49,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10190,434.28,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10191,1933.88,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10192,781.3,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10193,4127.89,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10194,1612.03,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10195,28459.1,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10196,469.3,NETWORK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10197,25503.81,UNKNOWN,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10198,2787.07,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10199,658.74,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10200,6658.8,TEMPORARY_BANK_ERROR,RETRY,HIGH,Failure appears temporary and may succeed on retry.
TXN10201,898.58,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10202,20337.26,TEMPORARY_BANK_ERROR,RETRY,HIGH,Failure appears temporary and may succeed on retry.
TXN10203,7248.64,UNKNOWN,REMINDER,LOW,Payment has remained unresolved for several days.
TXN10204,48605.19,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10205,2847.34,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10206,215.8,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10207,8520.13,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10208,1697.82,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10209,4946.11,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10210,1314.26,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10211,6484.72,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10212,4673.57,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10213,12501.69,UNKNOWN,REMINDER,LOW,General recovery follow-up recommended.
TXN10214,37436.45,NETWORK_ERROR,RETRY,HIGH,Failure appears temporary and may succeed on retry.
TXN10215,3322.19,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10216,972.38,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10217,288.72,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10218,5776.01,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10219,971.0,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10220,23893.73,UNKNOWN,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10221,4081.0,NETWORK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10222,20038.67,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10223,7661.97,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10224,44479.48,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10225,41451.13,NETWORK_ERROR,RETRY,HIGH,Failure appears temporary and may succeed on retry.
TXN10226,1386.33,NETWORK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10227,31548.07,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10228,565.78,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10229,3263.48,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10230,45759.59,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10231,1530.51,NETWORK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10232,37474.44,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10233,8864.56,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10234,8553.22,TEMPORARY_BANK_ERROR,RETRY,HIGH,Failure appears temporary and may succeed on retry.
TXN10235,4783.18,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
