transaction_id,ai_decision_explanation,ai_customer_message,explanation_source,message_source
TXN10036,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is card expired, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.",Payment recovery for ₹484.56 has been paused after multiple unsuccessful attempts. Our support team will review the case.,Local Fallback,Local Fallback
TXN10037,RecoverAI recommends a controlled retry because the failure is related to temporary bank error. The recovery score is 80/100 and the transaction has not exceeded the automatic retry limit.,"Hi Customer 1179, your payment of ₹8,454.50 could not be completed due to a temporary payment issue. Please try the payment again after a short while.",Local Fallback,Local Fallback
TXN10038,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is temporary bank error, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.",Payment recovery for ₹873.30 has been paused after multiple unsuccessful attempts. Our support team will review the case.,Local Fallback,Local Fallback
TXN10039,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is card expired, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹1,891.41 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10040,"RecoverAI stopped automatic recovery because the payment has already reached 3 unsuccessful attempts. Although the failure reason is temporary bank error, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹12,774.45 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10041,RecoverAI recommends a controlled retry because the failure is related to network error. The recovery score is 70/100 and the transaction has not exceeded the automatic retry limit.,"Hi Customer 1216, your payment of ₹23,624.98 could not be completed due to a temporary payment issue. Please try the payment again after a short while.",Local Fallback,Local Fallback
TXN10042,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is unknown, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹1,645.27 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10043,RecoverAI recommends a controlled retry because the failure is related to network error. The recovery score is 70/100 and the transaction has not exceeded the automatic retry limit.,"Hi Customer 1061, your payment of ₹812.45 could not be completed due to a temporary payment issue. Please try the payment again after a short while.",Local Fallback,Local Fallback
TXN10044,"RecoverAI stopped automatic recovery because the payment has already reached 3 unsuccessful attempts. Although the failure reason is unknown, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹21,905.41 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10045,RecoverAI recommends a payment link because the failure is related to insufficient funds. This gives the customer another way to complete the outstanding payment.,"Hi Customer 1052, your payment of ₹32,937.52 could not be completed. You can complete your payment using the secure payment link provided.",Local Fallback,Local Fallback
TXN10046,RecoverAI recommends a customer prompt because the payment requires customer attention. The customer can verify the payment details and attempt the transaction again.,"Hi Customer 1234, your payment of ₹8,316.16 needs your attention. Please verify your payment details and try again.",Local Fallback,Local Fallback
TXN10047,RecoverAI recommends a customer prompt because the payment requires customer attention. The customer can verify the payment details and attempt the transaction again.,"Hi Customer 1282, your payment of ₹9,748.25 needs your attention. Please verify your payment details and try again.",Local Fallback,Local Fallback
TXN10048,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is insufficient funds, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹13,393.51 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10049,RecoverAI recommends a controlled retry because the failure is related to network error. The recovery score is 70/100 and the transaction has not exceeded the automatic retry limit.,"Hi Customer 1125, your payment of ₹38,327.25 could not be completed due to a temporary payment issue. Please try the payment again after a short while.",Local Fallback,Local Fallback
TXN10050,RecoverAI recommends a controlled retry because the failure is related to temporary bank error. The recovery score is 85/100 and the transaction has not exceeded the automatic retry limit.,"Hi Customer 1189, your payment of ₹2,090.82 could not be completed due to a temporary payment issue. Please try the payment again after a short while.",Local Fallback,Local Fallback
TXN10051,RecoverAI recommends a customer prompt because the payment requires customer attention. The customer can verify the payment details and attempt the transaction again.,"Hi Customer 1148, your payment of ₹919.40 needs your attention. Please verify your payment details and try again.",Local Fallback,Local Fallback
TXN10052,RecoverAI recommends a customer prompt because the payment requires customer attention. The customer can verify the payment details and attempt the transaction again.,"Hi Customer 1000, your payment of ₹46,764.63 needs your attention. Please verify your payment details and try again.",Local Fallback,Local Fallback
TXN10053,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is unknown, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹1,328.60 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10054,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is unknown, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹3,357.27 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10055,RecoverAI recommends a customer prompt because the payment requires customer attention. The customer can verify the payment details and attempt the transaction again.,"Hi Customer 1009, your payment of ₹702.57 needs your attention. Please verify your payment details and try again.",Local Fallback,Local Fallback
TXN10056,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is card expired, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹11,808.75 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10057,RecoverAI recommends a payment link because the failure is related to insufficient funds. This gives the customer another way to complete the outstanding payment.,"Hi Customer 1005, your payment of ₹884.60 could not be completed. You can complete your payment using the secure payment link provided.",Local Fallback,Local Fallback
TXN10058,RecoverAI recommends a controlled retry because the failure is related to network error. The recovery score is 70/100 and the transaction has not exceeded the automatic retry limit.,"Hi Customer 1084, your payment of ₹39,996.43 could not be completed due to a temporary payment issue. Please try the payment again after a short while.",Local Fallback,Local Fallback
TXN10059,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is network error, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹1,009.98 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10060,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is card expired, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹29,048.43 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10061,"RecoverAI stopped automatic recovery because the payment has already reached 3 unsuccessful attempts. Although the failure reason is network error, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹11,151.31 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10062,RecoverAI recommends a controlled retry because the failure is related to network error. The recovery score is 90/100 and the transaction has not exceeded the automatic retry limit.,"Hi Customer 1029, your payment of ₹35,465.77 could not be completed due to a temporary payment issue. Please try the payment again after a short while.",Local Fallback,Local Fallback
TXN10063,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is network error, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹8,898.05 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10064,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is insufficient funds, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹35,336.03 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10065,RecoverAI recommends a controlled retry because the failure is related to temporary bank error. The recovery score is 90/100 and the transaction has not exceeded the automatic retry limit.,"Hi Customer 1004, your payment of ₹26,466.45 could not be completed due to a temporary payment issue. Please try the payment again after a short while.",Local Fallback,Local Fallback
TXN10066,RecoverAI recommends a payment link because the failure is related to insufficient funds. This gives the customer another way to complete the outstanding payment.,"Hi Customer 1217, your payment of ₹4,780.61 could not be completed. You can complete your payment using the secure payment link provided.",Local Fallback,Local Fallback
TXN10067,"RecoverAI stopped automatic recovery because the payment has already reached 3 unsuccessful attempts. Although the failure reason is card expired, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹1,441.71 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10068,RecoverAI recommends a customer prompt because the payment requires customer attention. The customer can verify the payment details and attempt the transaction again.,"Hi Customer 1215, your payment of ₹17,380.84 needs your attention. Please verify your payment details and try again.",Local Fallback,Local Fallback
TXN10069,"RecoverAI stopped automatic recovery because the payment has already reached 3 unsuccessful attempts. Although the failure reason is card expired, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹15,909.56 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10070,RecoverAI recommends a controlled retry because the failure is related to temporary bank error. The recovery score is 90/100 and the transaction has not exceeded the automatic retry limit.,"Hi Customer 1125, your payment of ₹1,004.34 could not be completed due to a temporary payment issue. Please try the payment again after a short while.",Local Fallback,Local Fallback
TXN10071,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is authentication failure, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹9,123.33 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10072,RecoverAI recommends a controlled retry because the failure is related to network error. The recovery score is 65/100 and the transaction has not exceeded the automatic retry limit.,"Hi Customer 1228, your payment of ₹1,540.79 could not be completed due to a temporary payment issue. Please try the payment again after a short while.",Local Fallback,Local Fallback
TXN10073,RecoverAI recommends a controlled retry because the failure is related to temporary bank error. The recovery score is 50/100 and the transaction has not exceeded the automatic retry limit.,"Hi Customer 1136, your payment of ₹2,060.27 could not be completed due to a temporary payment issue. Please try the payment again after a short while.",Local Fallback,Local Fallback
TXN10074,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is unknown, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹26,415.87 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10075,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is insufficient funds, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹47,175.04 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10076,RecoverAI recommends a payment link because the failure is related to insufficient funds. This gives the customer another way to complete the outstanding payment.,"Hi Customer 1258, your payment of ₹39,449.89 could not be completed. You can complete your payment using the secure payment link provided.",Local Fallback,Local Fallback
TXN10077,RecoverAI recommends a payment link because the failure is related to insufficient funds. This gives the customer another way to complete the outstanding payment.,"Hi Customer 1100, your payment of ₹15,376.59 could not be completed. You can complete your payment using the secure payment link provided.",Local Fallback,Local Fallback
TXN10078,RecoverAI recommends a controlled retry because the failure is related to temporary bank error. The recovery score is 70/100 and the transaction has not exceeded the automatic retry limit.,"Hi Customer 1136, your payment of ₹2,933.45 could not be completed due to a temporary payment issue. Please try the payment again after a short while.",Local Fallback,Local Fallback
TXN10079,RecoverAI recommends a controlled retry because the failure is related to temporary bank error. The recovery score is 70/100 and the transaction has not exceeded the automatic retry limit.,"Hi Customer 1285, your payment of ₹5,033.45 could not be completed due to a temporary payment issue. Please try the payment again after a short while.",Local Fallback,Local Fallback
TXN10080,RecoverAI recommends a payment link because the failure is related to insufficient funds. This gives the customer another way to complete the outstanding payment.,"Hi Customer 1294, your payment of ₹3,491.05 could not be completed. You can complete your payment using the secure payment link provided.",Local Fallback,Local Fallback
TXN10081,RecoverAI recommends a customer prompt because the payment requires customer attention. The customer can verify the payment details and attempt the transaction again.,"Hi Customer 1103, your payment of ₹1,483.81 needs your attention. Please verify your payment details and try again.",Local Fallback,Local Fallback
TXN10082,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is network error, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹27,261.13 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10083,"RecoverAI stopped automatic recovery because the payment has already reached 3 unsuccessful attempts. Although the failure reason is temporary bank error, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹9,150.25 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10084,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is card expired, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹5,951.36 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10085,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is authentication failure, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹1,170.75 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10086,RecoverAI recommends a payment link because the failure is related to insufficient funds. This gives the customer another way to complete the outstanding payment.,"Hi Customer 1140, your payment of ₹3,452.60 could not be completed. You can complete your payment using the secure payment link provided.",Local Fallback,Local Fallback
TXN10087,RecoverAI recommends a reminder because the payment remains recoverable but does not require an immediate technical retry.,"Hi Customer 1126, this is a reminder regarding your pending payment of ₹20,240.62. Please complete the payment at your convenience.",Local Fallback,Local Fallback
TXN10088,RecoverAI recommends a reminder because the payment remains recoverable but does not require an immediate technical retry.,"Hi Customer 1100, this is a reminder regarding your pending payment of ₹6,609.73. Please complete the payment at your convenience.",Local Fallback,Local Fallback
TXN10089,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is authentication failure, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹1,971.71 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10090,RecoverAI recommends a customer prompt because the payment requires customer attention. The customer can verify the payment details and attempt the transaction again.,"Hi Customer 1016, your payment of ₹34,148.86 needs your attention. Please verify your payment details and try again.",Local Fallback,Local Fallback
TXN10091,RecoverAI recommends a controlled retry because the failure is related to temporary bank error. The recovery score is 70/100 and the transaction has not exceeded the automatic retry limit.,"Hi Customer 1284, your payment of ₹2,262.74 could not be completed due to a temporary payment issue. Please try the payment again after a short while.",Local Fallback,Local Fallback
TXN10092,RecoverAI recommends a reminder because the payment remains recoverable but does not require an immediate technical retry.,"Hi Customer 1062, this is a reminder regarding your pending payment of ₹1,244.06. Please complete the payment at your convenience.",Local Fallback,Local Fallback
TXN10093,"RecoverAI stopped automatic recovery because the payment has already reached 3 unsuccessful attempts. Although the failure reason is temporary bank error, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹1,993.37 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10094,RecoverAI recommends a controlled retry because the failure is related to network error. The recovery score is 75/100 and the transaction has not exceeded the automatic retry limit.,"Hi Customer 1112, your payment of ₹43,462.59 could not be completed due to a temporary payment issue. Please try the payment again after a short while.",Local Fallback,Local Fallback
TXN10095,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is unknown, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.",Payment recovery for ₹920.37 has been paused after multiple unsuccessful attempts. Our support team will review the case.,Local Fallback,Local Fallback
TXN10096,"RecoverAI stopped automatic recovery because the payment has already reached 3 unsuccessful attempts. Although the failure reason is temporary bank error, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹2,203.07 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10097,"RecoverAI stopped automatic recovery because the payment has already reached 3 unsuccessful attempts. Although the failure reason is network error, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹41,996.64 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10098,RecoverAI recommends a payment link because the failure is related to insufficient funds. This gives the customer another way to complete the outstanding payment.,"Hi Customer 1160, your payment of ₹9,700.23 could not be completed. You can complete your payment using the secure payment link provided.",Local Fallback,Local Fallback
TXN10099,RecoverAI recommends a reminder because the payment remains recoverable but does not require an immediate technical retry.,"Hi Customer 1194, this is a reminder regarding your pending payment of ₹573.20. Please complete the payment at your convenience.",Local Fallback,Local Fallback
TXN10100,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is insufficient funds, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹4,144.24 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10101,RecoverAI recommends a customer prompt because the payment requires customer attention. The customer can verify the payment details and attempt the transaction again.,"Hi Customer 1236, your payment of ₹49,414.69 needs your attention. Please verify your payment details and try again.",Local Fallback,Local Fallback
TXN10102,RecoverAI recommends a controlled retry because the failure is related to network error. The recovery score is 85/100 and the transaction has not exceeded the automatic retry limit.,"Hi Customer 1127, your payment of ₹3,743.97 could not be completed due to a temporary payment issue. Please try the payment again after a short while.",Local Fallback,Local Fallback
